job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
System/Network Admin,FUSION Marketing,Other,2026-04-17,,,,Full-time,Mid,,,linkedin,True
Project Manager,Manulife IT Delivery Center Asia Inc.,Ho Chi Minh City,2026-05-06,,,,Full-time,Mid,,"Go, Scala, Express, HTML, Project Management",linkedin,True
Backend Developer,"KMS Technology, Inc.",Ho Chi Minh City,2026-05-04,,,,Full-time,Junior,,"Java, JavaScript, Rust, Scala, .NET, ASP.NET, SQL, NoSQL, Git, DevOps, Scrum, REST, AI, HTML, CSS, Excel",linkedin,True
System/Network Admin,"Phuong Nam Co., Ltd",Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,,"PHP, CSS",linkedin,True
Data Analyst,SOCOTEC,Hanoi,2026-05-01,,,,Full-time,Manager+,2.0,"SQL, AI, Power BI, Excel, Security",linkedin,True
Business Analyst,PixelChain,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,5.0,"SQL, Agile, Scrum, Excel, Jira, Confluence, Figma",linkedin,True
Security Engineer,INFUSE,Ho Chi Minh City,2026-05-02,,,,Full-time,Mid,,"Scala, Machine Learning, Security",linkedin,True
IT Manager,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-04-24,,,,Contract,Mid,,"REST, Excel",linkedin,True
Backend Developer,Wati,Ho Chi Minh City,2026-02-07,,,,Full-time,Mid,3.0,"Java, JavaScript, TypeScript, Go, Rust, Scala, .NET, AWS, Azure, GCP, SQL, NoSQL, MongoDB, PostgreSQL, Git, CI/CD, REST, AI, Excel",linkedin,True
IT Support,Concentrix,Ho Chi Minh City,2026-04-08,,,,Full-time,Junior,1.0,Excel,linkedin,True
IT Manager,"Money Forward Vietnam Co., Ltd",Ho Chi Minh City,2026-02-07,,,,Full-time,Mid,10.0,"Excel, Networking, Project Management, PMP",linkedin,True
IT Manager,Flight Centre Travel Group,Ho Chi Minh City,2026-03-09,,,,Full-time,Mid,,"Agile, Excel, Security, CRM, Project Management",linkedin,True
System/Network Admin,Công Ty TNHH BBQ Việt Nam,Hanoi,2026-04-08,,,,Full-time,Mid,,,linkedin,True
IT Support,Servers.com,Hanoi,2026-05-01,,,,Full-time,Junior,,"Kubernetes, Linux, Firewall",linkedin,True
Project Manager,French Vietnamese School of Management (CFVG),Ho Chi Minh City,2026-03-09,,,,Full-time,Mid,,"REST, CRM, Project Management",linkedin,True
Other,Four Points by Sheraton,Da Nang,2026-05-01,,,,Full-time,Mid,2.0,Security,linkedin,True
Other,SLB,Other,2026-04-24,,,,Full-time,Mid,,Excel,linkedin,True
Other,CI Research,Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,1.0,Excel,linkedin,True
DevOps/Infra Engineer,Panasonic Asia Pacific,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,,"Scala, AWS, Azure, Linux, Excel, Networking, Security",linkedin,True
Other,PVS Solution,Ho Chi Minh City,2026-02-07,,,,Full-time,Mid,1.0,,linkedin,True
Cloud Engineer,Eurofins,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,,"Rust, Scala, Express, Kubernetes, AWS, Azure, GCP, Terraform, CI/CD, DevOps, Excel, Security",linkedin,True
Other,"SOTATEK., JSC",Hanoi,2026-01-08,,,,Internship,Junior,,"REST, Excel",linkedin,True
Project Manager,WRS Health,Other,2026-05-01,,,,Contract,Mid,,"Scala, Agile, Jira",linkedin,True
Other,the LEGO Group,Other,2026-05-05,,,,Full-time,Mid,,"Express, REST",linkedin,True
Business Analyst,Blitz IT Consultants Pte Ltd,Hanoi,2026-04-08,,,,Full-time,Junior,1.0,"Scala, Security",linkedin,True
Data Analyst,FPT Retail,Hanoi,2026-04-24,,,,Full-time,Mid,,"Power BI, Excel, CRM",linkedin,True
Frontend Developer,Holistics Data,Other,2026-04-08,,,,Full-time,Mid,,"TypeScript, Ruby, Vue, PostgreSQL, Redis, CI/CD, REST",linkedin,True
Business Analyst,Fourier Solution,Hanoi,2026-04-24,,,,Full-time,Mid,2.0,"Agile, Scrum, AI, Figma",linkedin,True
Business Analyst,Vietcap Securities,Ho Chi Minh City,2026-04-17,,,,Full-time,Mid,5.0,"Perl, Agile, Scrum, Excel",linkedin,True
IT Support,Telnyx,Other,2026-04-24,,,,Full-time,Junior,,"Python, Scala, Perl, React, Linux, Windows Server, REST, Jira, Active Directory, Networking, Firewall, Security, Cybersecurity",linkedin,True
System/Network Admin,VINFAST,Hanoi,2026-04-10,,,,Full-time,Mid,3.0,"Python, MATLAB, REST, Excel",linkedin,True
QA/Tester,IT Consultis,Ho Chi Minh City,2026-04-10,,,,Internship,Mid,,"Java, JavaScript, Agile, Scrum, HTML, CSS, Jira, Project Management",linkedin,True
Other,CMC Telecom,Hanoi,1 year ago,,,,Full-time,Mid,2.0,,linkedin,True
Other,DXC Technology Vietnam,Ho Chi Minh City,2026-04-24,,,,Internship,Intern,,"Java, JavaScript, Rust, SQL, MongoDB, PostgreSQL, MySQL, AI, ServiceNow",linkedin,True
IT Manager,HEINEKEN Vietnam,Ho Chi Minh City,2026-05-07,,,,Full-time,Manager+,8.0,"Rust, Excel",linkedin,True
Other,Vietnamese-German University,Other,2026-05-07,,,,Full-time,Manager+,2.0,"Python, Rust, SQL, Power BI, Tableau, Excel, Security",linkedin,True
QA/Tester,"KMS Technology, Inc.",Ho Chi Minh City,2026-04-24,,,,Full-time,Mid,,"Rust, Agile, Scrum, AI, Excel, Selenium",linkedin,True
System/Network Admin,L4 Studio - Software Development Company,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,2.0,"Scala, Docker, Kubernetes, PostgreSQL, MySQL, Linux, Security",linkedin,True
Other,Titan Dealer Management Solutions (Titan DMS),Ho Chi Minh City,2026-04-08,,,,Full-time,Senior,5.0,"AWS, Azure, Windows Server, REST, Excel, Jira, Networking, Firewall, Security",linkedin,True
QA/Tester,Permate,Da Nang,2026-01-08,10000000.0,15000000.0,VND,Full-time,Mid,,"Scala, AI, Excel",linkedin,False
IT Manager,YO IT Consulting,Ho Chi Minh City,2026-05-05,,,,Full-time,Mid,,"Express, Machine Learning, AI",linkedin,True
Other,YO IT Consulting,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,2.0,"AI, Excel",linkedin,True
Project Manager,VINFAST,Hanoi,2026-04-17,,,,Full-time,Mid,3.0,"REST, Excel, Jira, Project Management",linkedin,True
Security Engineer,PwC,Ho Chi Minh City,2026-04-10,,,,Full-time,Mid,1.0,"Security, Cybersecurity",linkedin,True
DevOps/Infra Engineer,EY,Ho Chi Minh City,2026-05-03,,,,Internship,Mid,,"Rust, AWS, Azure, AI, ITIL",linkedin,True
Business Analyst,Getz Group,Other,2025-10-10,,,,Full-time,Senior,5.0,"Agile, Scrum, REST, Excel, Figma, Sketch, iOS",linkedin,True
Sales/Presales,Cotalent,Ho Chi Minh City,2026-04-10,,,,Full-time,Mid,8.0,"REST, ERP, CRM",linkedin,True
Mobile Developer,Life at Viettel Cyber Security,Hanoi,2026-04-08,,,,Full-time,Mid,3.0,"Java, JavaScript, Jenkins, SQL, Agile, Scrum, REST, AI, Excel, API, Security, Cybersecurity",linkedin,True
Sales/Presales,"SOTATEK., JSC",Hanoi,2 years ago,,,,Internship,Mid,,"Scala, Excel",linkedin,True
Product Manager/Owner,Timo Digital Bank by BVBank,Ho Chi Minh City,2026-04-17,,,,Full-time,Junior,3.0,"Agile, Scrum, Excel, Jira, Confluence, Figma, API",linkedin,True
Project Manager,Terralogic,Ho Chi Minh City,2026-05-06,,,,Full-time,Mid,7.0,"Java, Scala, React, Angular, .NET, AWS, Azure, GCP, Microservices, Excel, Security",linkedin,True
IT Manager,Sika,Ho Chi Minh City,2026-05-06,,,,Full-time,Mid,,,linkedin,True
Security Engineer,V-Key - Digital Identity & Mobile App Security,Ho Chi Minh City,2026-04-10,,,,Full-time,Mid,,"Scala, Linux, Security",linkedin,True
Business Analyst,NAB,Ho Chi Minh City,2026-04-10,,,,Full-time,Senior,4.0,"Agile, Scrum, Excel, API, Security, Project Management",linkedin,True
Business Analyst,FPT Retail,Ho Chi Minh City,2026-04-24,,,,Full-time,Mid,,"SQL, Excel",linkedin,True
Security Engineer,DataXight,Ho Chi Minh City,2026-05-07,,,,Full-time,Senior,,"Python, AWS, Azure, GCP, Terraform, CI/CD, AI, Networking, Security",linkedin,True
Other,Worldpanel,Ho Chi Minh City,2026-05-04,,,,Contract,Junior,,Project Management,linkedin,True
IT Manager,BizLink Group,Other,2026-04-08,,,,Full-time,Mid,,"Excel, Security, Project Management",linkedin,True
Business Analyst,IIG Vietnam,Hanoi,2026-05-06,,,,Full-time,Mid,4.0,"Agile, Scrum, CRM",linkedin,True
System/Network Admin,AvePoint,Hanoi,2026-04-24,,,,Full-time,Mid,,Security,linkedin,True
IT Support,Gremsy,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,1.0,"Python, Excel",linkedin,True
Other,CodeLink,Ho Chi Minh City,2026-04-17,,,,Full-time,Senior,4.0,"Rust, Swift, Scala, Agile, AI",linkedin,True
Security Engineer,Momos,Other,2026-03-09,,,,Full-time,Junior,,"Rust, Scala, AI, Excel, Networking",linkedin,True
Product Manager/Owner,GoTymeX,Ho Chi Minh City,2026-05-01,,,,Full-time,Intern,,"Agile, AI, Jira",linkedin,True
Other,BizLink Group,Other,2026-04-10,,,,Full-time,Mid,,"Excel, Security",linkedin,True
Other,MSU Residential and Hospitality Services,Other,2026-04-17,,,,Full-time,Mid,,"Perl, Active Directory, Security",linkedin,True
System/Network Admin,GMO-Z.com RUNSYSTEM JSC.,Hanoi,2025-09-10,,,,Full-time,Mid,1.0,".NET, Terraform, Ansible, MySQL, Linux, Firewall",linkedin,True
Sales/Presales,redBus,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,2.0,"Go, Scala, Excel",linkedin,True
Other,Institute for Policy Studies and Media Development (IPS),Hanoi,2026-05-05,,,,Full-time,Junior,1.0,,linkedin,True
IT Manager,Cotalent,Ho Chi Minh City,2026-04-10,,,,Full-time,Mid,8.0,"Go, Scala, REST, ERP, CRM",linkedin,True
IT Manager,COSMO,Ho Chi Minh City,2026-04-24,,,,Full-time,Manager+,,"Excel, Security, Project Management, PMP",linkedin,True
System/Network Admin,L4 Tech Creations,Other,2026-05-07,,,,Full-time,Mid,2.0,"Scala, Docker, Kubernetes, PostgreSQL, MySQL, Linux, Security",linkedin,True
System/Network Admin,FPT IS Careers,Hanoi,2026-05-07,,,,Full-time,Junior,2.0,"SQL, Linux, Unix, Windows Server, ITIL, VMware, Hyper-V",linkedin,True
